run,method,persona,n_outputs,self_bleu,distinct_1,distinct_2,sbert_cosine,sbert_distance,quality,novelty,utility,persona_fidelity,quality_n,novelty_n,utility_n,persona_fidelity_n
qwen25_0p5b,single_lora,minimalist,30,0.07200435040230106,0.3960029607698001,0.8970476911430735,0.13111573457717896,0.868884265422821,2.622222222222222,4.6,2.3666666666666667,2.4,30,30,30,30
qwen25_1p5b,mop_divpo_v2,contrarian,30,0.09043097317340935,0.3181972212809217,0.8610354223433242,0.19479019939899445,0.8052098006010056,,,,,0,0,0,0
qwen25_1p5b,mop_divpo_v2,systems_thinker,30,0.08580066732018508,0.3163693599160546,0.8546061884669479,0.19709177315235138,0.8029082268476486,,,,,0,0,0,0
qwen25_1p5b,mop_divpo_v2,cross_domain_analogist,30,0.07986469989815202,0.3390174583840844,0.8698937908496732,0.18579410016536713,0.8142058998346329,,,,,0,0,0,0
qwen25_1p5b,mop_divpo_v2,minimalist,30,0.06363917760291302,0.4542528735632184,0.9109557109557109,0.14853854477405548,0.8514614552259445,,,,,0,0,0,0
qwen25_1p5b,mop_sft,contrarian,30,0.08714729328443122,0.3066712049012934,0.8390646492434664,0.1267181783914566,0.8732818216085434,,,,,0,0,0,0
qwen25_1p5b,mop_sft,systems_thinker,30,0.07281862900552624,0.27542738732515976,0.8382225308106231,0.13210652768611908,0.8678934723138809,,,,,0,0,0,0
qwen25_1p5b,mop_sft,cross_domain_analogist,30,0.05971565222383828,0.31735210028590277,0.8669470887757361,0.11875482648611069,0.8812451735138893,,,,,0,0,0,0
qwen25_1p5b,mop_sft,minimalist,30,0.08335072546180212,0.5161764705882353,0.9323076923076923,0.12395671755075455,0.8760432824492455,,,,,0,0,0,0
qwen25_1p5b,prompt_only,contrarian,30,0.07683648984547328,0.3228305785123967,0.8656974731741087,0.1963866502046585,0.8036133497953415,,,,,0,0,0,0
qwen25_1p5b,prompt_only,systems_thinker,30,0.0843732036668082,0.3171861086375779,0.8590868397493285,0.1993265450000763,0.8006734549999237,,,,,0,0,0,0
qwen25_1p5b,prompt_only,cross_domain_analogist,30,0.062376789323499694,0.3657042869641295,0.8947600176133862,0.16803929209709167,0.8319607079029083,,,,,0,0,0,0
